100 100
2
100
11
21 50
2;2;2;2;2;2M;2M;2;2;2;2M;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1M;1;1P;1;1;1;1M;1M;1M;1;1;1M;1M;1;1;1;1M;1M;1;1;1;1M;1;1;1;1;1;1;1;1;1;1;1M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;2;2;2;2M;2P;2;2;2M;2;2;2;2;2P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1M;1;1;1;1M;1;1;1M;1;1M;1;1;1;1;1M;1P;1;1;1;1;1;1;1M;1;1M;1;1M;1;1M;1P;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2M;2M;2M;2;2M;2P;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1MP;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2M;2M;2;2;2;2;2;2;2;2;2;2;2M;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8M;8M;8;8;0;0;0;0;0;0;0;0;0;1;1M;1;1M;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1M;1M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8M;8M;8M;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1M;1;1;1;1;1;1M;1M;1;1;1M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;2;2;2;2;2;2;2;2;2M;2;2;2P;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8M;8;8M;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1P;1;1P;1;1P;1;1;1;1;1;1;1M;1;1M;1;1;1;1;1;1P;1;1;1MP;1;1M;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;2;2;2;2;2;2;2;2;2M;2M;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1M;1;7M;7;7M;7;1;1M;1P;1M;1;1;1;1;1M;1;1;1M;1;1;1;1M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2P;2M;2M;2;2;2;2;2;2;2P;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1M;1;1;1;1;1;1M;1;1;1;1;1M;7;7M;7P;7;1;1;1;1;1M;1;1;1M;1M;1M;1M;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2P;2;2;2;2P;2;2P;2;2M;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1M;1;1;1;1M;1;1;1;1P;1;1;1P;1;7;7M;7;7M;1;1;1;1;1M;1;1M;1;1;1;1M;1M;1M;1;1;1M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;2;2M;2;2M;2;2;2;2;2M;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1M;1;1;1M;1;1;1;1;1;1M;1M;1;1M;7;7;7;7M;1;1P;1M;1;1;1;1;1;1;1;1;1;1MP;1;1M;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;2M;2;2;2;2M;2;2;2;2;2M;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1M;1;1;1;1;1;1;1;1M;1M;1;1;1;1;1;1M;1;1M;1;1;1M;1M;1;1;1;1MP;1;1;1;1M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;2P;2;2M;2;2;2M;2;2P;2M;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1M;1;1;1;1;1P;1;1;1;1;1M;1;1;1;1P;1;1;1;1;1;1;1M;1M;1;1;1M;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
