32 32
4
32
9
28 11
2;2;2M;2;2;2;2;2M;2;2;8;8;7;7;1;1;1;1;1M;1;1;1;1;1;1;1;1M;1M;1;1;1;1
2M;2;2;2;2P;2M;2;2;2;2;8;8M;7;7P;1;1;1M;1;1;1M;1;1;1P;1P;1;1;1M;1;1;1M;1;1
2;2;2;2;2P;2M;2;2;2;2;7M;7;7;7;1M;1;1;1MP;1M;1;1;1;1;1;1P;1;1M;1M;1;1;1;1
2P;2;2;2;2M;2;2;2;2;2;2P;2;2M;1M;1M;1;1;1;1;1M;1;1;1;1;1;1M;1;1;1;1;1;1MP
2;2M;2M;2;2M;2;2M;2;2;2;2;2;2;1M;1;1M;1;1P;1;1;1M;1M;1P;1;1;1;1;1;1;1;1;1M
2;2;2;2;2;2;2;2;2;2;2;2M;2M;1M;1;1;1;1;1M;1;1;1M;1P;1M;1M;1;1;1P;1;1;1;1
2;2;2;2;2M;2M;2M;2;2;2;2;2;2M;1M;1M;1;1;1;1;1M;1;1M;1;1;1M;1;1M;1;1M;1;1;1
2;2;2;2;2;2M;2;3;3M;3;3;3;3;3MP;3M;1P;1;1;6M;6;6;6;1;1M;1;1;1M;1;1M;1;1M;1
2M;2;2M;2;2;2;2;3;3;3;3;3M;3;3;3;1;1;1;6M;6M;6;6;1;1;1;1;1M;1;1;1P;1;1
2;2;2M;2;2;2;2;3M;3;3;3;3;3M;3;3P;1;1M;1;6M;6;6;6;1;1;1;1;1;1;1;1P;1;1
2M;2;2;2;2;2;2;3;3M;3;3P;3M;3;3;3;1;1;1M;6;6;6;6M;1M;1;1;1;1;1;1;1;1;1
2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;1;1M;1;1;1;1MP;1;1M;1;1;1;1;1;1;1M;1;1
2;2;2;2;2;2P;2;3;3;3;3;3;3;3;3;1;1;1;1M;1;1M;1;1;1;1;1;1M;1;1;1;1;1
2P;2;2;2;2;2;2;3;3;3;3;3M;3;3;3;1;1;1;1;1;1;1;1;1;1M;1M;1;1;1M;1;1;1M
2;2P;2;2;2M;2;2;3;3;3;3;3M;3;3M;3;1M;1;1;1;1;1P;1P;1;1M;1;1M;1;1;1;1;1M;1
2;2;2;2;2M;2;2;2;2;2;2M;2;2;1M;1;1;1P;1;1;1;1;1P;1;1M;1M;1;1;1;1;1P;1;1
2P;2M;2M;2;2;2M;2;2M;2;2;2;2;2;1M;1;1;1M;1M;1;1;1;1;1P;1;1;1;1;1;1M;1;1;1P
0;0;0;0;0;0;1;1P;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1P;1;1;1;1;1;1;1;1
0;0;0;0;0;0;1;1P;1P;1;1M;1M;1;1;1;1;1;1;1;1;1M;1M;1M;1;1;1;1M;1;1M;1M;1M;1
0;0;0;0;0;0;1;1;1;1MP;1;1;1P;1M;1;1;1;1;1M;1;1;1;1;1;1;1;1M;1;1;1M;1;1
0;0;0;0;0;0;1;1;1M;1;1;1M;1;1;1;1;1;1;1;1;1;1;1;1;1;1P;1M;1;1;1;1;1
0;0;0;0;0;0;1;1M;1M;1;1;1;4;4;4M;4;4M;4;1;1;1;1M;1;1M;1;1;1;1MP;1M;1;1;1M
0;0;0;0;0;0;1;1M;1;1;1M;1;4;4M;4;4M;4;4;1P;1M;1;1;1;1;1;1;1;1;1M;1;1;1
5;5M;5;0;0;0;1;1;1;1;1;1;4;4;4;4;4;4;1;1;1;1;1;1M;1;1;1;1;1;1;1;1
5;5;5;0;0;0;1;1;1;1M;1;1;4;4P;4P;4;4;4;1;1;1M;1M;1;1;1;1;1;1;1M;1;1;1
5;5P;5;0;0;0;1;1;1;1;1M;1;4;4;4;4;4;4P;1;1M;1;1P;1;1;1;1;1;1;1;1;1;1
5;5;5MP;0;0;0;0;0;0;0;0;0;4;4;4M;4;4;4M;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0T;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
